,0168-1Q-virome_S7_L001.tsv,0168-1Z-virome_S6_L001.tsv,0168-U-virome_S13_L001.tsv,14-2820AC-VIROME_S5_L001.tsv,14-2820AC-viromeTruSeq.tsv,15-8466AC-VIROME_S6_L001.tsv,15-8466AC-viromeTruSeq.tsv,2088Q-28-06-viromeT_S7_L001.tsv,2088Q-29-06-viromeT_S11_L001.tsv,2088U-29-06-viromeT_S3_L001.tsv,2820-2Q-virome_S8_L001.tsv,2820-2Z-virome_S2_L001.tsv,2820-U-virome_S14_L001.tsv,4397Q-29-06-viromeT_S12_L001.tsv,5015Q-29-06-viromeT_S10_L001.tsv,6268-U-virome_S16_L001.tsv,6677Q-28-06-viromeT_S6_L001.tsv,6677Q-29-06-viromeT_S9_L001.tsv,6677U-29-06-viromeT_S1_L001.tsv,8466-1Q-virome_S10_L001.tsv,8466-2Z-virome_S9_L001.tsv,8466-U-virome_S17_L001.tsv,8659Q-28-06-viromeT_S8_L001.tsv,8659Q-29-06-viromeT_S13_L001.tsv,9092-1Q-virome_S3_L001.tsv,9092-2Z-virome_S1_L001.tsv,9092-U-virome_S11_L001.tsv,9324-2Q-virome_S5_L001.tsv,9324-2Z-virome_S4_L001.tsv,9324-U-virome_S12_L001.tsv,A1-CCR_S4_L001.tsv,A2-NORMAL_S8_L001.tsv,A4-NORMAL_S1_L001.tsv,A7-NORMAL_S2_L001.tsv,A8-NORMAL_S3_L001.tsv,B2-CCR_S5_L001.tsv,B3-CCR_S6_L001.tsv,B4-CCR_S7_L001.tsv,BLAC-viromeR_S59_L001.tsv,BLAD-viromeSC_S81_L001.tsv,BLBC-viromeR_S60_L001.tsv,CONTROL.VIROMA.S95.tsv,MAC-viromeR_S57_L001.tsv,MBC-viromeR_S58_L001.tsv,NTC-ds.tsv,P1-2635-I-virome.tsv,P1-2635-Ids-virome.tsv,P1-2635-Q-virome.tsv,P1-2635-Qds-virome.tsv,P2-6080-I-virome.tsv,P2-6080-Ids-virome.tsv,P2-6080-Q-virome.tsv,P2-6080-Qds-virome.tsv,P3-5566-I-virome.tsv,P3-5566-Ids-virome.tsv,P3-5566-Q-virome.tsv,P3-5566-Qds-virome.tsv,P4-1728-I-virome.tsv,P4-1728-Ids-virome.tsv,P4-1728-Q-virome.tsv,P4-1728-Qds-virome.tsv,P5-8986-I-virome.tsv,P5-8986-Ids-virome.tsv,P5-8986-Q-virome.tsv,P5-8986-Qds-virome.tsv,P6-8992-I-virome.tsv,P6-8992-Ids-virome.tsv,P6-8992-Q-virome.tsv,P6-8992-Qds-virome.tsv,S1-5393-VIROME_S1_L001.tsv,S1-5393-viromeTruSeq.tsv,S2-5882-viromeTruSeq.tsv,S3-9504-VIROME_S3_L001.tsv,S3-9504-viromeTruSeq.tsv,S4-1876-VIROME_S4_L001.tsv,S4-1876-viromeTruSeq.tsv,SAC1-virome.tsv,SAC1-viromeR_S55_L001.tsv,SAC2-virome.tsv,SAC2-viromeR_S56_L001.tsv,SAD1-virome.tsv,SAD1-viromeR_S61_L001.tsv,SAD2-virome.tsv,SAK1-virome_S66_L001.tsv,SAK2-virome_S67_L001.tsv,SAMPLE.VIROMA.S94.tsv,SANK1-virome_S69_L001.tsv,SANK2-virome_S70_L001.tsv,SARS.VIROMA.S96.tsv,SBC1-virome.tsv,SBC2-virome.tsv,SBD1-virome.tsv,SBD2-virome.tsv,SBK-virome_S68_L001.tsv,SBNK-virome_S71_L001.tsv,target_human_sLC3_S32_L001.tsv
Ephemerovirus,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,4,1,,1,,1,,2,2,3,,,,6,4,,2,2,,2,1,,,4,1,
Karamvirus,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Bridgettevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Varicellovirus,5,1,124,,40,3,27,1,1,1,2,,2,,,25,,,2,,,6,,,4,2,,3,3,25,4,83,21,1,3,4,1,10,,3,,1,3,2,2,3,2,14,17,1,1,,2,,,,2,3,2,,2,3,4,4,3,,,1,3,26,50,31,2,21,4,36,,,,,,1,2,,,1,,,,,1,,,1,,1
Kelmasvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Zindervirus,,,,,4,,,,,,,,,,,,,,,,,,,,5,6,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigmapapillomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ishigurovirus,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Pebcunavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,,
Colneyvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iteradensovirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbockvirus,1,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,,3,4,,2,,,1,,,,,,,,,,,,1,5,5,2,,,,1,,,,,,,,,,,,,1,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bowservirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limdunavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Trinevirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crohivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firingavirus,,,1,,4,,,,,1,,,,,,,,,,,,2,,,,,,,,20,,,,,,,,,,,,,,,,,,5,2,,,1,,,,1,1,,,,,,,,1,,,,,1,4,,,1,,2,,,,,,,,,,,,,,,,,,,,
Ollusvirus,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foussvirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metapneumovirus,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,2,,,,,,,,,,,,,,,,,,,,
Striavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kusarnavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Alphacoronavirus,2,1,3,7,32,5,8,1,,,2,,3,,,5,,,,2,1,1,1,,5,16,,8,4,17,9,29,8775,2,25,20,,1,,2,1,29,,1,,46,54,9,5,2,5,,7,2,,2,2,4,4,6,8,,4,3,3,1,2,,1,11,31,4,6,6,3,13,9,13,13,12,19,34,21,18,14,,36,14,,34,20,42,59,19,35,
Tropivirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapwovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Deltacoronavirus,1,1,2,,1,3,3,,,,,,1,,,,,1,,,,,,,1,2,,1,2,3,,2,,,,15,,9,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,3,1,2,1,19,2,2,9,1,2,,,,,,,,,,,,,,,,,,,,
Pleakleyvirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Thornevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Nymphadoravirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septimatrevirus,,,5,3,49,,16,,,4,,,5,,,3,,,6,,,2,,,,,1,,,40,,1,,21,1,,,1,,,,,,,,,,9,6,,2,,,,,,2,,,1,4,,,7,5,,,4,,3,38,19,5,38,,14,,,,,,,,,,,,,,,,,,,1,
Chitorquevirus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Marthavirus,,,,2,4,,,,,,,,,,,3,,,,,,,,,1,,,1,,7,,,,,,,,,,,,,,,,,,3,,,,1,,,,1,,,,,,,,,,1,,1,,1,5,3,8,3,,3,,,,,,,,,,,,,,,,,,,,
Mudcatvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickievirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimonavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seongbukvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Orthoreovirus,,,,,3,,,,,,,,,1,,,,,,,,,,,,1,,,3,3,2,,,24,1,,,1,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,1,
Kafunavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Almendravirus,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Sarumanvirus,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,
Gammapolyomavirus,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,
Alphapapillomavirus,2,2,,,8,1,5,,,,,,2,,,,,,,1,,,,,2,4,,2,,10,,,,,4,3,4,,,,,,,,,,,4,4,,1,1,2,25,22,33,44,,,2,,,1,,1,,1,2,,1,6,6,,6,21,3,,,,,,,,,,,,,,1,1,,1,1,,
Stompelvirus,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Tuodvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespertilionpoxvirus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,1,,,,,,,,,,,,,,,,,,,,
Gemyduguivirus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Tungrovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Dendoorenvirus,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
Kunsagivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treisthetapapillomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Epsilonarterivirus,,,,,3,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,19,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
Treisepsilonpapillomavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
Tralespevirus,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bicaudavirus,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillianvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Torovirus,,1,,1,4,,2,,,,1,10,,,,,,,,1,2,,,,1,6,1,,4,3,7,,1,20,20,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,4,2,13,5,,5,,1,,,,,,,,,,,,,,,1,,,
Avibirnavirus,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,3,,1,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Reipivirus,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Raunefjordenvirus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popoffvirus,,,2,,11,,4,,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Gammapapillomavirus,,,1,1,9,12,43,,1,,,,1,,,,,,,1,,6,,,,,,1,2,7,,1,67,,,,,1,,,,,,,,2,4,1,3,,,,,1,5,2,2,,2,1,2,,,,,,,,,,10,4,15,13,3,7,,,,,3,,,,,,,,,,,1,,,1,
Zurivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoplichthysvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Phikzvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hapunavirus,1,,7,3,53,1,25,,,1,1,,8,,,5,,,3,,,,,,,1,,1,,47,1,,1,6,,,,,,,,,,,,,,11,17,,1,2,2,,,4,7,,,3,4,,,11,9,,,3,4,9,58,35,6,30,,36,,,,1,,,,,,,1,,,,,,,3,,
Ghunavirus,,,1,,1,,2,,,,,,,,,,,,,,,,,,2,1,,,3,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,1,,,2,1,,4,,2,,,,,,,,,,,,,,,,,,,,
Husavirus,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serkorvirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Paraavulavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Ambidensovirus,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Zetapapillomavirus,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncotshavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bromovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,9,9,1,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,
Lindendrivevirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelarspovirus,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titanvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kobuvirus,2,,,,6,,6,,,,,,1,,1,,,,,,,,,,2,1,,1,1,3,1,1,37,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,1,,1,,1,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,1,
Caroctavirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Bruynoghevirus,,,1,1,15,,2,,,,,,,,,,,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,2,,,,,,2,2,2,1,3,,1,,,,,,,,,,,,,,,,,,,1,
Bippervirus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Siophivirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloriridovirus,,,,,3,,3,,,,,,,1,,,,,,,,,,,1,13,,2,,1,,4,,,,,,,,,,,,,1,,,1,1,,,,,,2,,1,,,,,,,1,,,,1,1,1,3,,,2,,3,,,,,,,,,,,,,,,,,,,,
Leonardvirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Deltapapillomavirus,,,,,,4,5,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,2,,,,,,,,,,,,,,,,,,,,
Alphacrustrhavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tertilicivirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Peropuvirus,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Benyvirus,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningirsuvirus,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,1,,1,4,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,2,7,,,,2,,,,,,,,,,,,,,,,,,,,
Rabovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atuphduovirus,,,2,,3,,2,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,
Priunavirus,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Certrevirus,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Dyonupapillomavirus,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Aquareovirus,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,
Senecavirus,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Trichomonasvirus,1,,,,,,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vectrevirus,,,,,3,,1,,,,,,,,,,,,,,,,,,117,227,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,1,,,,,,,,,,,,,,,,,,,,
Pestivirus,,,,,18,2,5,,,,,,2,,,1,,,,3,,,,,3,1,,1,2,8,,,14,,,,,1,,1,,,1,,,8,3,2,2,,2,,,,2,,1,,,,1,1,,2,1,,,,1,22,109,10,4,8,,7,,,,,1,,,,,,,,,,,,1,,,
Felispumavirus,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lumosvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skarprettervirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheravirus,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Decapodiridovirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinavirus,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqualcavirus,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,
Bacillarnavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
